playerFirstName,playerLastName,playerId,age,seasonId,shoots,playerPositionCode,playerTeamsPlayedFor,gamesPlayed,goals,assists,shots,plusMinus,penaltyMinutes,timeOnIcePerGame,shiftsPerGame,
Ladislav,Smid,8471222,30.3589041096,20152016,L,D,CGY,22,0.0,0.0,11,-7,6,695.1363,17.0909,
Nikita,Nesterov,8476300,23.202739726,20152016,L,D,TBL,57,3.6554131608,7.3108263216,57,-6,41,893.3684,18.4385,
Martin,Marincin,8475716,24.3095890411,20152016,L,D,TOR,65,1.2184710536,7.3108263216,55,-3,34,1006.1538,22.5538,
Josh,Manson,8476312,24.6767123288,20152016,R,D,ANA,71,6.092355268,12.184710536,88,11,74,1126.9436,23.845,
Luca,Sbisa,8474579,26.3616438356,20152016,L,D,VAN,41,2.4369421072,7.3108263216,29,5,26,1042.5121,23.9268,
Tomas,Tatar,8475193,25.5260273973,20152016,L,L,DET,81,25.5878921256,29.2433052864,165,4,24,861.074,19.7654,
Niklas,Kronwall,8468509,35.4164383562,20152016,L,D,DET,64,3.6554131608,28.0248342328,61,-21,30,1320.5625,29.375,
Markus,Hannikainen,8478541,23.2082191781,20152016,L,L,CBJ,4,0.0,0.0,3,-2,0,428.75,12.0,
Mikhail,Grabovski,8471362,32.3643835616,20152016,L,C,NYI,58,10.9662394824,19.4955368576,83,3,33,846.1896,18.5689,
Radim,Vrbata,8468085,35.0,20152016,R,R,VAN,63,15.8401236968,17.0585947504,199,-30,12,962.8095,21.7777,
Trevor,Daley,8470110,32.6767123288,20152016,L,D,CHI|PIT,82,7.3108263216,26.8063631792,130,9,34,1106.4756,24.5121,
Micheal,Ferland,8475907,24.1397260274,20152016,L,L,CGY,71,4.8738842144,17.0585947504,122,-15,45,756.7605,20.1267,
Anton,Stralman,8471873,29.8630136986,20152016,R,D,TBL,73,10.9662394824,30.46177634,127,16,20,1324.6575,25.0958,
Matt,Moulson,8470852,32.6136986301,20152016,L,L,BUF,81,9.7477684288,15.8401236968,111,-5,16,714.1851,15.9753,
Sam,Carrick,8475842,24.3479452055,20152016,R,C,TOR,3,0.0,0.0,4,-2,4,688.0,18.6666,
Peter,Holland,8475180,25.4054794521,20152016,L,C,TOR,65,10.9662394824,21.9324789648,138,-16,28,879.9538,20.6,
Brad,Stuart,8467331,36.602739726,20152016,L,D,COL,6,0.0,0.0,0,-2,0,840.0,21.1666,
Chris,Wagner,8475780,25.0410958904,20152016,R,C,ANA|COL|ANA,43,4.8738842144,2.4369421072,55,-2,28,549.3023,13.3953,
Jason,Zucker,8475722,24.4,20152016,L,L,MIN,71,15.8401236968,12.184710536,158,-4,20,934.7464,19.8591,
Hampus,Lindholm,8476854,22.3863013699,20152016,L,D,ANA,80,12.184710536,21.9324789648,149,7,40,1320.1125,26.25,
Brad,Hunt,8476779,27.797260274,20152016,L,D,EDM,7,0.0,0.0,12,-1,2,850.7142,18.5714,
Connor,McDavid,8478402,19.402739726,20152016,L,C,EDM,45,19.4955368576,38.9910737152,105,-1,18,1133.0888,22.8888,
Alexander,Semin,8470120,32.2767123288,20152016,R,R,MTL,15,1.2184710536,3.6554131608,18,1,12,740.1333,16.9333,
Brian,Boyle,8470619,31.4821917808,20152016,L,C,TBL,76,15.8401236968,8.5292973752,117,-7,57,774.6184,17.25,
Henrik,Sedin,8467876,35.7123287671,20152016,L,C,VAN,74,13.4031815896,53.6127263584,99,0,24,1102.7297,23.2702,
